都道府県番号,都道府県枝番,予選地区名,年度,校数,優勝校,優勝校公立・実業・私立区別,準優勝校,準優勝校公立・実業・私立区別,準優勝校2,準優勝校2公立・実業・私立区別,準優勝校3,準優勝校3公立・実業・私立区別,備考,選手権出場校
1,1,北北海道,2018,89,旭川大,私,クラーク国際,私,,,,,,
1,1,北北海道,2019,85,旭川大,私,クラーク国際,私,,,,,,
1,1,北北海道,2020,81,クラーク国際,私,旭川龍谷,私,,,,,独自大会,選手権中止
1,2,南北海道,2018,106,北照,私,駒大苫小牧,私,,,,,,
1,2,南北海道,2019,105,北照,私,札幌国際情報,公,,,,,,
1,2,南北海道,2020,100,札幌第一,私,札幌国際情報,公,,,,,独自大会,選手権中止
2,0,青森,2018,59,八戸学院光星,私,弘前学院聖愛,私,,,,,,
2,0,青森,2019,57,八戸学院光星,私,弘前学院聖愛,私,,,,,,
2,0,青森,2020,55,青森山田,私,八戸学院光星,私,,,,,独自大会,選手権中止
3,0,岩手,2018,66,花巻東,私,盛岡大付,私,,,,,,
3,0,岩手,2019,66,花巻東,私,大船渡,公,,,,,,
3,0,岩手,2020,65,一関学院,私,盛岡大付,私,,,,,独自大会,選手権中止
5,0,秋田,2018,44,金足農,公・実,明桜,私,,,,,,
5,0,秋田,2019,44,秋田中央,公,明桜,私,,,,,,
5,0,秋田,2020,44,ノースアジア大明桜,私,能代松陽,公,,,,,独自大会,選手権中止
6,0,山形,2018,48,羽黒,私,鶴岡東,私,,,,,,
6,0,山形,2019,48,鶴岡東,私,山形中央,公,,,,,,
6,0,山形,2020,45,鶴岡東,私,東海大山形,私,,,,,独自大会,選手権中止
4,0,宮城,2018,67,仙台育英,私,古川工,公・実,,,,,,
4,0,宮城,2019,67,仙台育英,私,東北,私,,,,,,
4,0,宮城,2020,67,仙台育英,私,仙台,公,,,,,独自大会,選手権中止
7,0,福島,2018,78,聖光学院,私,福島商,公・実,,,,,,
7,0,福島,2019,75,聖光学院,私,日大東北,私,,,,,,
7,0,福島,2020,71,聖光学院,私,光南,公,,,,,独自大会,選手権中止
8,0,茨城,2018,98,土浦日大,私,常総学院,私,,,,,,
8,0,茨城,2019,93,霞ヶ浦,私,常磐大,私,,,,,,
8,0,茨城,2020,90,,,,,,,,,独自大会　準々決勝まで,選手権中止
9,0,栃木,2018,59,作新学院,私,白?大足利,私,,,,,,
9,0,栃木,2019,59,作新学院,私,文星芸大付,私,,,,,,
9,0,栃木,2020,59,,,,,,,,,独自大会　上位8校まで,選手権中止
10,0,群馬,2018,64,前橋育英,私,健大高崎,私,,,,,,
10,0,群馬,2019,62,前橋育英,私,前橋商,公・実,,,,,,
10,0,群馬,2020,61,桐生第一,私,健大高崎,私,,,,,独自大会,選手権中止
11,0,埼玉,2018,74,花咲徳栄,私,上尾,公,,,,,北大会,
11,0,埼玉,2018,84,浦和学院,私,川口,公,,,,,南大会,
11,0,埼玉,2019,152,花咲徳栄,私,山村学園,私,,,,,,
11,0,埼玉,2020,148,狭山ヶ丘,私,昌平,私,,,,,独自大会,選手権中止
12,0,千葉,2018,80,中央学院,私,東京学館浦安,私,,,,,西大会,
12,0,千葉,2018,83,木更津総合,私,成田,私,,,,,東大会,
12,0,千葉,2019,163,習志野,公,八千代松陰,私,,,,,,
12,0,千葉,2020,158,木更津総合,私,専大松戸,私,,,,,独自大会,選手権中止
13,1,東東京,2018,132,二松学舎大付,私,小山台,公,,,,,,
13,1,東東京,2019,129,関東一,私,小山台,公,,,,,,
13,1,東東京,2020,122,帝京,私,関東一,私,,,,,独自大会,選手権中止
13,2,西東京,2018,130,日大三,私,日大鶴ヶ丘,私,,,,,,
13,2,西東京,2019,130,国学院久我山,私,創価,私,,,,,,
13,2,西東京,2020,121,東海大菅生,私,佼成学園,私,,,,,独自大会,選手権中止
14,0,神奈川,2018,94,慶應義塾,私,桐光学園,私,,,,,北大会,
14,0,神奈川,2018,92,横浜,私,鎌倉学園,私,,,,,南大会,
14,0,神奈川,2019,181,東海大相模,私,日大藤沢,私,,,,,,
14,0,神奈川,2020,173,東海大相模,私,相洋,私,,,,,独自大会　1試合のみ参加の2校が別にある,選手権中止
15,0,新潟,2018,82,中越,私,新発田,公,,,,,,
15,0,新潟,2019,77,日本文理,私,東京学館新潟,私,,,,,,
15,0,新潟,2020,73,中越,私,日本文理,私,,,,,独自大会,選手権中止
20,0,長野,2018,85,佐久長聖,私,上田西,私,,,,,,
20,0,長野,2019,84,飯山,公,伊那弥生ヶ丘,公,,,,,,
20,0,長野,2020,78,佐久長聖,私,飯山,公,,,,,独自大会,選手権中止
19,0,山梨,2018,35,山梨学院,私,帝京三,私,,,,,,
19,0,山梨,2019,35,山梨学院,私,東海大甲府,私,,,,,,
19,0,山梨,2020,34,東海大甲府,私,山梨学院,私,,,,,独自大会,選手権中止
22,0,静岡,2018,111,常葉大菊川,私,島田商,公・実,,,,,,
22,0,静岡,2019,111,静岡,公,駿河総合,公,,,,,,
22,0,静岡,2020,108,聖隷クリストファー,私,浜松開誠館,私,,,,,独自大会　7回制,選手権中止
23,0,愛知,2018,85,愛産大三河,私,西尾東,公,,,,,東大会,
23,0,愛知,2018,101,愛工大名電,私,東邦,私,,,,,西大会,
23,0,愛知,2019,188,誉,私,桜丘,私,,,,,,
23,0,愛知,2020,182,中京大中京,私,愛産大工,私,,,,,独自大会,選手権中止
21,0,岐阜,2018,68,大垣日大,私,大垣商,公・実,,,,,,
21,0,岐阜,2019,66,中京学院大中京（→中京）,私,大垣日大,私,,,,,,
21,0,岐阜,2020,63,大垣日大,私,中京,公,,,,,独自大会,選手権中止
24,0,三重,2018,61,白山,公,松阪商,公・実,,,,,,
24,0,三重,2019,62,津田学園,私,海星,私,,,,,,
24,0,三重,2020,60,いなべ総合,公,四日市工,公・実,,,,,独自大会,選手権中止
16,0,富山,2018,48,高岡商,公・実,富山第一,私,,,,,,
16,0,富山,2019,48,高岡商,公・実,富山第一,私,,,,,,
16,0,富山,2020,46,高岡第一,私,石動,公,,,,,独自大会,選手権中止
17,0,石川,2018,46,星稜,私,金沢学院,私,,,,,,
17,0,石川,2019,44,星稜,私,小松大谷,私,,,,,,
17,0,石川,2020,43,日本航空石川,私,星稜,私,,,,,独自大会,選手権中止
18,0,福井,2018,30,敦賀気比,私,若狭,公,,,,,,
18,0,福井,2019,30,敦賀気比,私,丹生,公,,,,,,
18,0,福井,2020,30,敦賀気比,私,福井工大福井,私,,,,,独自大会,選手権中止
25,0,滋賀,2018,50,近江,私,綾羽,私,,,,,,
25,0,滋賀,2019,49,近江,私,光泉,私,,,,,,
25,0,滋賀,2020,49,近江,私,水口東,公,,,,,独自大会,選手権中止
26,0,京都,2018,75,龍谷大平安,私,立命館宇治,私,,,,,,
26,0,京都,2019,75,立命館宇治,私,京都国際,私,,,,,,
26,0,京都,2020,74,,,,,,,,,独自大会　8ブロック決勝まで　7回制,選手権中止
27,0,大阪,2018,88,大阪桐蔭,私,大阪学院高,私,,,,,北大会,
27,0,大阪,2018,87,近大付,私,大商大堺,私,,,,,南大会,
27,0,大阪,2019,174,履正社,私,金光大阪,私,,,,,,
27,0,大阪,2020,169,履正社,私,関大北陽,私,,,,,独自大会　両校勝ち残り準決勝で打ち切り,選手権中止
28,0,兵庫,2018,72,報徳学園,私,市尼崎,公,,,,,東大会,
28,0,兵庫,2018,90,明石商,公・実,姫路工,公・実,,,,,西大会,
28,0,兵庫,2019,161,明石商,公・実,神戸国際大付,私,,,,,,
28,0,兵庫,2020,156,,,,,,,,,独自大会　8ブロック決勝まで,選手権中止
29,0,奈良,2018,39,奈良大付,私,天理,私,,,,,,
29,0,奈良,2019,38,智弁学園,私,高田商,公・実,,,,,,
29,0,奈良,2020,37,天理,私,奈良大付,私,,,,,独自大会,選手権中止
30,0,和歌山,2018,39,智弁和歌山,私,市和歌山,公,,,,,,
30,0,和歌山,2019,39,智弁和歌山,私,那賀,公,,,,,,
30,0,和歌山,2020,39,智弁和歌山,私,初芝橋本,私,,,,,独自大会,選手権中止
33,0,岡山,2018,59,創志学園,私,岡山学芸館,私,,,,,,
33,0,岡山,2019,59,岡山学芸館,私,倉敷商,公・実,,,,,,
33,0,岡山,2020,58,倉敷商,公・実,創志学園,私,,,,,独自大会,選手権中止
34,0,広島,2018,88,広陵,私,広島新庄,私,,,,,,
34,0,広島,2019,90,広島商,公・実,尾道,私,,,,,,
34,0,広島,2020,88,広島商,公・実,広陵,私,,,,,独自大会,選手権中止
31,0,鳥取,2018,24,鳥取城北,私,米子西,公,,,,,,
31,0,鳥取,2019,23,米子東,公,鳥取城北,私,,,,,,
31,0,鳥取,2020,22,倉吉東,公,鳥取城北,私,,,,,独自大会,選手権中止
32,0,島根,2018,39,益田東,私,石見智翠館,私,,,,,,
32,0,島根,2019,39,石見智翠館,私,開星,私,,,,,,
32,0,島根,2020,39,益田東,私,立正大淞南,私,,,,,独自大会,選手権中止
35,0,山口,2018,58,下関国際,私,宇部鴻城,私,,,,,,
35,0,山口,2019,58,宇部鴻城,私,西京,公,,,,,,
35,0,山口,2020,55,高川学園,私,桜ヶ丘,私,,,,,独自大会,選手権中止
37,0,香川,2018,38,丸亀城西,公,高松,公,,,,,,
37,0,香川,2019,38,高松商,公・実,英明,私,,,,,,
37,0,香川,2020,38,尽誠学園,私,高松商,公・実,,,,,独自大会,選手権中止
36,0,徳島,2018,31,鳴門,公,生光学園,私,,,,,,
36,0,徳島,2019,30,鳴門,公,富岡西,公,,,,,,
36,0,徳島,2020,30,鳴門,公,徳島商,公・実,,,,,独自大会,選手権中止
38,0,愛媛,2018,59,済美,私,新田,私,,,,,,
38,0,愛媛,2019,58,宇和島東,公,松山聖陵,私,,,,,,
38,0,愛媛,2020,52,松山聖陵,私,宇和島東,公,,,,,独自大会,選手権中止
39,0,高知,2018,28,高知商,公・実,明徳義塾,私,,,,,,
39,0,高知,2019,26,明徳義塾,私,高知,私,,,,,,
39,0,高知,2020,23,高知,私,明徳義塾,私,,,,,独自大会,選手権中止
40,0,福岡,2018,63,折尾愛真,私,飯塚,私,,,,,北大会,
40,0,福岡,2018,70,沖学園,私,九産大九州,私,,,,,南大会,
40,0,福岡,2019,133,筑陽学園,私,西日本短大付,私,,,,,,
40,0,福岡,2020,123,,,,,,,,,独自大会　4地区決勝まで,選手権中止
41,0,佐賀,2018,40,佐賀商,公・実,唐津商,公・実,,,,,,
41,0,佐賀,2019,39,佐賀北,公,鳥栖,公,,,,,,
41,0,佐賀,2020,37,龍谷,私,敬徳,私,,,,,独自大会,選手権中止
42,0,長崎,2018,57,創成館,私,海星,私,,,,,,
42,0,長崎,2019,55,海星,私,鎮西学院,私,,,,,,
42,0,長崎,2020,54,大崎,公,鹿町工,公・実,,,,,独自大会,選手権中止
43,0,熊本,2018,61,東海大熊本星翔,私,熊本工,公・実,,,,,,
43,0,熊本,2019,58,熊本工,公・実,九州学院,私,,,,,,
43,0,熊本,2020,55,,,,,,,,,独自大会、3地区決勝まで,選手権中止
44,0,大分,2018,45,藤蔭,私,柳ヶ浦,私,,,,,,
44,0,大分,2019,44,藤蔭,私,大分商,公・実,,,,,,
44,0,大分,2020,43,津久見,公,大分舞鶴,公,,,,,独自大会,選手権中止
45,0,宮崎,2018,48,日南学園,私,日章学園,私,,,,,,
45,0,宮崎,2019,49,富島,公・実,小林西,私,,,,,,
45,0,宮崎,2020,46,宮崎日大,私,宮崎学園,私,,,,,独自大会,選手権中止
46,0,鹿児島,2018,70,鹿児島実,私,鹿屋中央,私,,,,,,
46,0,鹿児島,2019,70,神村学園,私,鹿屋中央,私,,,,,,
46,0,鹿児島,2020,65,神村学園,私,国分中央,公・実,,,,,独自大会,選手権中止
47,0,沖縄,2018,65,興南,私,糸満,公,,,,,,
47,0,沖縄,2019,64,沖縄尚学,私,興南,私,,,,,,
47,0,沖縄,2020,59,八重山,公,未来沖縄,私,,,,,独自大会,選手権中止
