都道府県番号,都道府県枝番,予選地区名,年代順,年代,公立普通校校数,公立普通校校数が全体に占める割合,公立実業校校数,公立実業校校数が全体に占める割合,私立校校数,私立校校数が全体に占める割合,公私の画期
1,0,北海道,Ⅰ,1948～1958,13,59.1 ,3,13.6 ,6,27.3 ,
1,1,北北海道,Ⅱ,1959～1975,19,55.9 ,6,17.6 ,9,26.5 ,
1,1,北北海道,Ⅲ,1976～1990,12,40.0 ,4,13.3 ,14,46.7 ,
1,1,北北海道,Ⅳ,1991～2005,13,43.3 ,8,26.7 ,9,30.0 ,
1,1,北北海道,Ⅴ,2006～2019,6,21.4 ,2,7.1 ,20,71.4 ,○
1,1,北北海道,Ⅵ,2021,,,1,,1,,
1,1,北北海道,計,計,50,40.3 ,21,16.9 ,53,42.7 ,
1,2,南北海道,Ⅱ,1959～1975,8,23.5 ,6,17.6 ,20,58.8 ,○
1,2,南北海道,Ⅲ,1976～1990,5,16.7 ,1,3.3 ,24,80.0 ,
1,2,南北海道,Ⅳ,1991～2005,4,13.3 ,2,6.7 ,24,80.0 ,
1,2,南北海道,Ⅴ,2006～2019,2,7.1 ,1,3.6 ,25,89.3 ,
1,2,南北海道,Ⅵ,2021,,,,,2,,
1,2,南北海道,計,計,19 ,15.3 ,10 ,8.1 ,95 ,76.6 ,
2,0,青森,Ⅰ,1948～1960,22,84.6 ,2,7.7 ,2,7.7 ,
2,0,青森,Ⅱ,1961～1975,10,33.3 ,15,50.0 ,5,16.7 ,
2,0,青森,Ⅲ,1976～1990,9,30.0 ,13,43.3 ,8,26.7 ,
2,0,青森,Ⅳ,1991～2005,3,10.0 ,6,20.0 ,21,70.0 ,○
2,0,青森,Ⅴ,2006～2019,4,14.3 ,1,3.6 ,23,82.1 ,
2,0,青森,Ⅵ,2021,,,,,2,,
2,0,青森,計,計,48,32.9 ,37,25.3 ,61,41.8 ,
3,0,岩手,Ⅰ,1948～1960,18,69.2 ,6,23.1 ,2,7.7 ,
3,0,岩手,Ⅱ,1961～1975,17,56.7 ,8,26.7 ,5,16.7 ,
3,0,岩手,Ⅲ,1976～1990,15,50.0 ,9,30.0 ,6,20.0 ,
3,0,岩手,Ⅳ,1991～2005,7,23.3 ,2,6.7 ,21,70.0 ,○
3,0,岩手,Ⅴ,2006～2019,4,14.3 ,0,0.0 ,24,85.7 ,
3,0,岩手,Ⅵ,2021,,,,,2,,
3,0,岩手,計,計,61,41.8 ,25,17.1 ,60,41.1 ,
4,0,秋田,Ⅰ,1948～1960,15,57.7 ,11,42.3 ,0,0.0 ,
4,0,秋田,Ⅱ,1961～1975,13,43.3 ,17,56.7 ,0,0.0 ,
4,0,秋田,Ⅲ,1976～1990,13,43.3 ,12,40.0 ,5,16.7 ,
4,0,秋田,Ⅳ,1991～2005,10,33.3 ,15,50.0 ,5,16.7 ,
4,0,秋田,Ⅴ,2006～2019,13,46.4 ,11,39.3 ,4,14.3 ,
4,0,秋田,Ⅵ,2021,1,,,,1,,
4,0,秋田,計,計,65,44.5 ,66,45.2 ,15,10.3 ,×
5,0,山形,Ⅰ,1948～1960,16,61.5 ,9,34.6 ,1,3.8 ,
5,0,山形,Ⅱ,1961～1975,12,40.0 ,9,30.0 ,9,30.0 ,
5,0,山形,Ⅲ,1976～1990,4,13.3 ,3,10.0 ,23,76.7 ,○
5,0,山形,Ⅳ,1991～2005,2,6.7 ,3,10.0 ,25,83.3 ,
5,0,山形,Ⅴ,2006～2019,6,21.4 ,0,0.0 ,22,78.6 ,
5,0,山形,Ⅵ,2021,,,,,2,,
5,0,山形,計,計,40,27.4 ,24,16.4 ,82,56.2 ,
6,0,宮城,Ⅰ,1948～1960,17,60.7 ,6,21.4 ,5,17.9 ,
6,0,宮城,Ⅱ,1961～1975,6,20.0 ,6,20.0 ,18,60.0 ,○
6,0,宮城,Ⅲ,1976～1990,3,10.0 ,4,13.3 ,23,76.7 ,
6,0,宮城,Ⅳ,1991～2005,6,20.0 ,5,16.7 ,19,63.3 ,
6,0,宮城,Ⅴ,2006～2019,5,17.9 ,5,17.9 ,18,64.3 ,
6,0,宮城,Ⅵ,2021,1,,,,1,,
6,0,宮城,計,計,38,25.7 ,26,17.6 ,84,56.8 ,
7,0,福島,Ⅰ,1948～1960,17,65.4 ,9,34.6 ,0,0.0 ,
7,0,福島,Ⅱ,1961～1975,19,63.3 ,7,23.3 ,4,13.3 ,
7,0,福島,Ⅲ,1976～1990,9,30.0 ,7,23.3 ,14,46.7 ,
7,0,福島,Ⅳ,1991～2005,7,23.3 ,5,16.7 ,18,60.0 ,○
7,0,福島,Ⅴ,2006～2019,5,17.9 ,2,7.1 ,21,75.0 ,
7,0,福島,Ⅵ,2021,1,,,,1,,
7,0,福島,計,計,58,39.7 ,30,20.5 ,58,39.7 ,
8,0,茨城,Ⅰ,1948～1960,14,53.8 ,10,38.5 ,2,7.7 ,
8,0,茨城,Ⅱ,1961～1975,21,70.0 ,6,20.0 ,3,10.0 ,
8,0,茨城,Ⅲ,1976～1990,18,60.0 ,3,10.0 ,9,30.0 ,
8,0,茨城,Ⅳ,1991～2005,11,36.7 ,8,26.7 ,11,36.7 ,
8,0,茨城,Ⅴ,2006～2019,5,17.9 ,0,0.0 ,23,82.1 ,○
8,0,茨城,Ⅵ,2021,,,,,2,,
8,0,茨城,計,計,69,47.3 ,27,18.5 ,50,34.2 ,
9,0,栃木,Ⅰ,1948～1960,3,11.5 ,15,57.7 ,8,30.8 ,
9,0,栃木,Ⅱ,1961～1975,1,3.3 ,15,50.0 ,14,46.7 ,
9,0,栃木,Ⅲ,1976～1990,7,23.3 ,9,30.0 ,14,46.7 ,
9,0,栃木,Ⅳ,1991～2005,10,33.3 ,1,3.3 ,19,63.3 ,○
9,0,栃木,Ⅴ,2006～2019,2,7.1 ,3,10.7 ,23,82.1 ,
9,0,栃木,Ⅵ,2021,,,,,2,,
9,0,栃木,計,計,23,15.8 ,43,29.5 ,80,54.8 ,
10,0,群馬,Ⅰ,1948～1960,17,65.4 ,9,34.6 ,0,0.0 ,
10,0,群馬,Ⅱ,1961～1975,10,33.3 ,16,53.3 ,4,13.3 ,
10,0,群馬,Ⅲ,1976～1990,4,13.3 ,18,60.0 ,8,26.7 ,
10,0,群馬,Ⅳ,1991～2005,2,6.7 ,17,56.7 ,11,36.7 ,
10,0,群馬,Ⅴ,2006～2019,1,3.6 ,8,28.6 ,19,67.9 ,○
10,0,群馬,Ⅵ,2021,,,,,2,,
10,0,群馬,計,計,34,23.3 ,68,46.6 ,44,30.1 ,
11,0,埼玉,Ⅰ,1948～1960,21,80.8 ,5,19.2 ,0,0.0 ,
11,0,埼玉,Ⅱ,1961～1975,10,33.3 ,20,66.7 ,0,0.0 ,
11,0,埼玉,Ⅲ,1976～1990,13,43.3 ,12,40.0 ,5,16.7 ,
11,0,埼玉,Ⅳ,1991～2005,8,25.0 ,2,6.3 ,22,68.8 ,○
11,0,埼玉,Ⅴ,2006～2019,6,18.8 ,0,0.0 ,26,81.3 ,
11,0,埼玉,Ⅵ,2021,,,,,2,,
11,0,埼玉,計,計,58,38.2 ,39,25.7 ,55,36.2 ,
12,0,千葉,Ⅰ,1948～1960,10,38.5 ,9,34.6 ,7,26.9 ,
12,0,千葉,Ⅱ,1961～1975,12,40.0 ,15,50.0 ,3,10.0 ,
12,0,千葉,Ⅲ,1976～1990,14,46.7 ,7,23.3 ,9,30.0 ,
12,0,千葉,Ⅳ,1991～2005,9,28.1 ,3,9.4 ,20,62.5 ,○
12,0,千葉,Ⅴ,2006～2019,9,28.1 ,0,0.0 ,23,71.9 ,
12,0,千葉,Ⅵ,2021,,,,,2,,
12,0,千葉,計,計,54,35.5 ,34,22.4 ,64,42.1 ,
13,0,東京,Ⅰ,1948～1960,1,3.8 ,0,0.0 ,25,96.2 ,○
13,0,東京,Ⅱ,1961～1973,0,0.0 ,0,0.0 ,26,100.0 ,
13,0,東京,計,計,1,1.9 ,0,0.0 ,51,98.1 ,
13,1,東東京,Ⅲ,1974～1990,0,0.0 ,0,0.0 ,34,100.0 ,
13,1,東東京,Ⅳ,1991～2005,3,10.0 ,0,0.0 ,27,90.0 ,
13,1,東東京,Ⅴ,2006～2019,3,10.7 ,0,0.0 ,25,89.3 ,
13,1,東東京,Ⅵ,2021,,,,,2,,
13,1,東東京,計,計,6,6.4 ,0,0.0 ,88,93.6 ,
13,2,西東京,Ⅲ,1974～1990,3,8.8 ,0,0.0 ,31,91.2 ,
13,2,西東京,Ⅳ,1991～2005,0,0.0 ,0,0.0 ,30,100.0 ,
13,2,西東京,Ⅴ,2006～2019,1,3.6 ,0,0.0 ,27,96.4 ,
13,2,西東京,Ⅵ,2021,,,,,2,,
13,2,西東京,計,計,4,4.3 ,0,0.0 ,90,95.7 ,
14,0,神奈川,Ⅰ,1948～1960,5,19.2 ,6,23.1 ,15,57.7 ,○
14,0,神奈川,Ⅱ,1961～1975,1,3.3 ,0,0.0 ,29,96.7 ,
14,0,神奈川,Ⅲ,1976～1990,0,0.0 ,8,26.7 ,22,73.3 ,
14,0,神奈川,Ⅳ,1991～2005,1,3.1 ,2,6.3 ,29,90.6 ,
14,0,神奈川,Ⅴ,2006～2019,0,0.0 ,0,0.0 ,32,100.0 ,
14,0,神奈川,Ⅵ,2021,,,,,2,,
14,0,神奈川,計,計,7,4.6 ,16,10.5 ,129,84.9 ,
15,0,新潟,Ⅰ,1948～1960,15,57.7 ,11,42.3 ,0,0.0 ,
15,0,新潟,Ⅱ,1961～1975,6,20.0 ,18,60.0 ,6,20.0 ,
15,0,新潟,Ⅲ,1976～1990,10,33.3 ,12,40.0 ,8,26.7 ,
15,0,新潟,Ⅳ,1991～2005,7,23.3 ,6,20.0 ,17,56.7 ,○
15,0,新潟,Ⅴ,2006～2019,3,10.7 ,1,3.6 ,24,85.7 ,
15,0,新潟,Ⅵ,2021,,,,,2,,
15,0,新潟,計,計,41,28.1 ,48,32.9 ,57,39.0 ,
16,0,長野,Ⅰ,1948～1960,14,53.8 ,4,15.4 ,8,30.8 ,
16,0,長野,Ⅱ,1961～1975,8,26.7 ,12,40.0 ,10,33.3 ,
16,0,長野,Ⅲ,1976～1990,9,30.0 ,11,36.7 ,10,33.3 ,
16,0,長野,Ⅳ,1991～2005,3,10.0 ,3,10.0 ,24,80.0 ,○
16,0,長野,Ⅴ,2006～2019,4,14.3 ,2,7.1 ,22,78.6 ,
16,0,長野,Ⅵ,2021,,,,,2,,
16,0,長野,計,計,38,26.0 ,32,21.9 ,76,52.1 ,
17,0,山梨,Ⅰ,1948～1960,15,57.7 ,11,42.3 ,0,0.0 ,
17,0,山梨,Ⅱ,1961～1975,11,36.7 ,19,63.3 ,0,0.0 ,
17,0,山梨,Ⅲ,1976～1990,8,26.7 ,10,33.3 ,12,40.0 ,
17,0,山梨,Ⅳ,1991～2005,7,23.3 ,6,20.0 ,17,56.7 ,○
17,0,山梨,Ⅴ,2006～2019,3,10.7 ,5,17.9 ,20,71.4 ,
17,0,山梨,Ⅵ,2021,,,,,2,,
17,0,山梨,計,計,44,30.1 ,51,34.9 ,51,34.9 ,
18,0,静岡,Ⅰ,1948～1960,17,65.4 ,9,34.6 ,0,0.0 ,
18,0,静岡,Ⅱ,1961～1975,12,40.0 ,11,36.7 ,7,23.3 ,
18,0,静岡,Ⅲ,1976～1990,13,43.3 ,7,23.3 ,10,33.3 ,
18,0,静岡,Ⅳ,1991～2005,11,36.7 ,7,23.3 ,12,40.0 ,
18,0,静岡,Ⅴ,2006～2019,10,35.7 ,4,14.3 ,14,50.0 ,○
18,0,静岡,Ⅵ,2021,1,,,,1,,
18,0,静岡,計,計,64,43.8 ,38,26.0 ,44,30.1 ,
19,0,愛知,Ⅰ,1948～1960,8,30.8 ,5,19.2 ,13,50.0 ,○
19,0,愛知,Ⅱ,1961～1975,5,16.7 ,2,6.7 ,23,76.7 ,
19,0,愛知,Ⅲ,1976～1990,2,6.7 ,1,3.3 ,27,90.0 ,
19,0,愛知,Ⅳ,1991～2005,5,15.6 ,0,0.0 ,27,84.4 ,
19,0,愛知,Ⅴ,2006～2019,4,12.5 ,0,0.0 ,28,87.5 ,
19,0,愛知,Ⅵ,2021,,,,,2,,
19,0,愛知,計,計,24,15.8 ,8,5.3 ,120,78.9 ,
20,0,岐阜,Ⅰ,1948～1960,11,42.3 ,15,57.7 ,0,0.0 ,
20,0,岐阜,Ⅱ,1961～1975,4,13.3 ,13,43.3 ,13,43.3 ,
20,0,岐阜,Ⅲ,1976～1990,2,6.7 ,20,66.7 ,8,26.7 ,
20,0,岐阜,Ⅳ,1991～2005,6,20.0 ,18,60.0 ,6,20.0 ,
20,0,岐阜,Ⅴ,2006～2019,5,17.9 ,13,46.4 ,10,35.7 ,
20,0,岐阜,Ⅵ,2021,,,2,,,,
20,0,岐阜,計,計,28,19.2 ,81,55.5 ,37,25.3 ,×
21,0,三重,Ⅰ,1948～1960,17,65.4 ,9,34.6 ,0,0.0 ,
21,0,三重,Ⅱ,1961～1975,9,30.0 ,6,20.0 ,15,50.0 ,○
21,0,三重,Ⅲ,1976～1990,6,20.0 ,15,50.0 ,9,30.0 ,
21,0,三重,Ⅳ,1991～2005,4,13.3 ,10,33.3 ,16,53.3 ,○
21,0,三重,Ⅴ,2006～2019,12,42.9 ,6,21.4 ,10,35.7 ,
21,0,三重,Ⅵ,2021,,,,,2,,
21,0,三重,計,計,48,32.9 ,46,31.5 ,52,35.6 ,
22,0,富山,Ⅰ,1948～1960,22,84.6 ,4,15.4 ,0,0.0 ,
22,0,富山,Ⅱ,1961～1975,9,30.0 ,20,66.7 ,1,3.3 ,
22,0,富山,Ⅲ,1976～1990,12,40.0 ,13,43.3 ,5,16.7 ,
22,0,富山,Ⅳ,1991～2005,6,20.0 ,16,53.3 ,8,26.7 ,
22,0,富山,Ⅴ,2006～2019,7,25.0 ,14,50.0 ,7,25.0 ,
22,0,富山,Ⅵ,2021,,,1,,1,,
22,0,富山,計,計,56,38.4 ,68,46.6 ,22,15.1 ,×
23,0,石川,Ⅰ,1948～1960,19,73.1 ,6,23.1 ,1,3.8 ,
23,0,石川,Ⅱ,1961～1975,10,33.3 ,10,33.3 ,10,33.3 ,
23,0,石川,Ⅲ,1976～1990,6,20.0 ,2,6.7 ,22,73.3 ,○
23,0,石川,Ⅳ,1991～2005,4,13.3 ,4,13.3 ,22,73.3 ,
