都道府県番号,都道府県枝番,予選地区名,年代順,年代,公立普通校校数,公立普通校校数が全体に占める割合,公立実業校校数,公立実業校校数が全体に占める割合,私立校校数,私立校校数が全体に占める割合,公私の画期
23,0,石川,Ⅴ,2006～2019,1,3.6 ,1,3.6 ,26,92.9 ,
23,0,石川,Ⅵ,2021,,,,,2,,
23,0,石川,計,計,40,27.4 ,23,15.8 ,83,56.8 ,
24,0,福井,Ⅰ,1948～1960,23,88.5 ,0,0.0 ,3,11.5 ,
24,0,福井,Ⅱ,1961～1975,18,60.0 ,6,20.0 ,6,20.0 ,
24,0,福井,Ⅲ,1976～1990,11,36.7 ,12,40.0 ,7,23.3 ,
24,0,福井,Ⅳ,1991～2005,2,6.7 ,14,46.7 ,14,46.7 ,
24,0,福井,Ⅴ,2006～2019,4,14.3 ,10,35.7 ,14,50.0 ,○
24,0,福井,Ⅵ,2021,1,,,,1,,
24,0,福井,計,計,59,40.4 ,42,28.8 ,45,30.8 ,
25,0,滋賀,Ⅰ,1948～1960,19,73.1 ,7,26.9 ,0,0.0 ,
25,0,滋賀,Ⅱ,1961～1975,18,60.0 ,6,20.0 ,6,20.0 ,
25,0,滋賀,Ⅲ,1976～1990,17,56.7 ,5,16.7 ,8,26.7 ,
25,0,滋賀,Ⅳ,1991～2005,8,26.7 ,6,20.0 ,16,53.3 ,○
25,0,滋賀,Ⅴ,2006～2019,10,35.7 ,2,7.1 ,16,57.1 ,
25,0,滋賀,Ⅵ,2021,,,,,2,,
25,0,滋賀,計,計,72,49.3 ,26,17.8 ,48,32.9 ,
26,0,京都,Ⅰ,1948～1960,9,34.6 ,1,3.8 ,16,61.5 ,○
26,0,京都,Ⅱ,1961～1975,8,26.7 ,2,6.7 ,20,66.7 ,
26,0,京都,Ⅲ,1976～1990,7,23.3 ,1,3.3 ,22,73.3 ,
26,0,京都,Ⅳ,1991～2005,7,23.3 ,0,0.0 ,23,76.7 ,
26,0,京都,Ⅴ,2006～2019,3,10.7 ,2,7.1 ,23,82.1 ,
26,0,京都,Ⅵ,2021,,,,,2,,
26,0,京都,計,計,34,23.3 ,6,4.1 ,106,72.6 ,
27,0,大阪,Ⅰ,1948～1960,13,50.0 ,3,11.5 ,10,38.5 ,
27,0,大阪,Ⅱ,1961～1975,3,10.0 ,0,0.0 ,27,90.0 ,○
27,0,大阪,Ⅲ,1976～1990,4,13.3 ,0,0.0 ,26,86.7 ,
27,0,大阪,Ⅳ,1991～2005,3,9.4 ,0,0.0 ,29,90.6 ,
27,0,大阪,Ⅴ,2006～2019,1,3.1 ,0,0.0 ,31,96.9 ,
27,0,大阪,Ⅵ,2021,,,,,2,,
27,0,大阪,計,計,24,15.8 ,3,2.0 ,125,82.2 ,
28,0,兵庫,Ⅰ,1948～1960,14,53.8 ,3,11.5 ,9,34.6 ,
28,0,兵庫,Ⅱ,1961～1975,14,46.7 ,0,0.0 ,16,53.3 ,○
28,0,兵庫,Ⅲ,1976～1990,10,33.3 ,0,0.0 ,20,66.7 ,
28,0,兵庫,Ⅳ,1991～2005,3,9.4 ,5,15.6 ,24,75.0 ,
28,0,兵庫,Ⅴ,2006～2019,6,18.8 ,7,21.9 ,19,59.4 ,
28,0,兵庫,Ⅵ,2021,,,,,2,,
28,0,兵庫,計,計,47,30.9 ,15,9.9 ,90,59.2 ,
29,0,奈良,Ⅰ,1948～1960,13,50.0 ,6,23.1 ,7,26.9 ,
29,0,奈良,Ⅱ,1961～1975,11,36.7 ,10,33.3 ,9,30.0 ,
29,0,奈良,Ⅲ,1976～1990,11,36.7 ,1,3.3 ,18,60.0 ,○
29,0,奈良,Ⅳ,1991～2005,9,30.0 ,3,10.0 ,18,60.0 ,
29,0,奈良,Ⅴ,2006～2019,6,21.4 ,1,3.6 ,21,75.0 ,
29,0,奈良,Ⅵ,2021,,,1,,1,,
29,0,奈良,計,計,50,34.2 ,22,15.1 ,74,50.7 ,
30,0,和歌山,Ⅰ,1948～1960,23,88.5 ,3,11.5 ,0,0.0 ,
30,0,和歌山,Ⅱ,1961～1975,23,76.7 ,7,23.3 ,0,0.0 ,
30,0,和歌山,Ⅲ,1976～1990,20,66.7 ,7,23.3 ,3,10.0 ,
30,0,和歌山,Ⅳ,1991～2005,13,43.3 ,3,10.0 ,14,46.7 ,○
30,0,和歌山,Ⅴ,2006～2019,14,50.0 ,1,3.6 ,13,46.4 ,
30,0,和歌山,Ⅵ,2021,1,,,,1,,
30,0,和歌山,計,計,94,64.4 ,21,14.4 ,31,21.2 ,
31,0,岡山,Ⅰ,1948～1960,4,15.4 ,17,65.4 ,5,19.2 ,
31,0,岡山,Ⅱ,1961～1975,1,3.3 ,25,83.3 ,4,13.3 ,
31,0,岡山,Ⅲ,1976～1990,6,20.0 ,21,70.0 ,3,10.0 ,
31,0,岡山,Ⅳ,1991～2005,6,20.0 ,12,40.0 ,12,40.0 ,
31,0,岡山,Ⅴ,2006～2019,5,17.9 ,6,21.4 ,17,60.7 ,○
31,0,岡山,Ⅵ,2021,,,1,,1,,
31,0,岡山,計,計,22,15.1 ,82,56.2 ,42,28.8 ,
32,0,広島,Ⅰ,1948～1960,13,40.6 ,9,28.1 ,10,31.3 ,
32,0,広島,Ⅱ,1961～1975,3,10.0 ,9,30.0 ,18,60.0 ,○
32,0,広島,Ⅲ,1976～1990,2,6.7 ,17,56.7 ,11,36.7 ,
32,0,広島,Ⅳ,1991～2005,5,16.7 ,12,40.0 ,13,43.3 ,
32,0,広島,Ⅴ,2006～2019,1,3.6 ,4,14.3 ,23,82.1 ,○
32,0,広島,Ⅵ,2021,1,,,,1,,
32,0,広島,計,計,25,16.4 ,51,33.6 ,76,50.0 ,
33,0,鳥取,Ⅰ,1948～1960,22,84.6 ,4,15.4 ,0,0.0 ,
33,0,鳥取,Ⅱ,1961～1975,20,66.7 ,8,26.7 ,2,6.7 ,
33,0,鳥取,Ⅲ,1976～1990,21,70.0 ,4,13.3 ,5,16.7 ,
33,0,鳥取,Ⅳ,1991～2005,20,66.7 ,1,3.3 ,9,30.0 ,
33,0,鳥取,Ⅴ,2006～2019,13,46.4 ,3,10.7 ,12,42.9 ,
33,0,鳥取,Ⅵ,2021,1,,1,,,,
33,0,鳥取,計,計,97,66.4 ,21,14.4 ,28,19.2 ,×
34,0,島根,Ⅰ,1948～1960,20,76.9 ,6,23.1 ,0,0.0 ,
34,0,島根,Ⅱ,1961～1975,17,56.7 ,9,30.0 ,4,13.3 ,
34,0,島根,Ⅲ,1976～1990,19,63.3 ,6,20.0 ,5,16.7 ,
34,0,島根,Ⅳ,1991～2005,12,40.0 ,4,13.3 ,14,46.7 ,
34,0,島根,Ⅴ,2006～2019,6,21.4 ,0,0.0 ,22,78.6 ,○
34,0,島根,Ⅵ,2021,1,,,,1,,
34,0,島根,計,計,75,51.4 ,25,17.1 ,46,31.5 ,
35,0,山口,Ⅰ,1948～1960,20,58.8 ,13,38.2 ,1,2.9 ,
35,0,山口,Ⅱ,1961～1975,9,30.0 ,16,53.3 ,5,16.7 ,
35,0,山口,Ⅲ,1976～1990,7,23.3 ,19,63.3 ,4,13.3 ,
35,0,山口,Ⅳ,1991～2005,11,36.7 ,16,53.3 ,3,10.0 ,
35,0,山口,Ⅴ,2006～2019,7,25.0 ,7,25.0 ,14,50.0 ,〇
35,0,山口,Ⅵ,2021,,,,,2,,
35,0,山口,計,計,54,35.1 ,71,46.1 ,29,18.8 ,
36,0,香川,Ⅰ,1948～1960,13,50.0 ,13,50.0 ,0,0.0 ,
36,0,香川,Ⅱ,1961～1975,8,26.7 ,22,73.3 ,0,0.0 ,
36,0,香川,Ⅲ,1976～1990,11,36.7 ,16,53.3 ,3,10.0 ,
36,0,香川,Ⅳ,1991～2005,14,46.7 ,5,16.7 ,11,36.7 ,
36,0,香川,Ⅴ,2006～2019,9,32.1 ,6,21.4 ,13,46.4 ,
36,0,香川,Ⅵ,2021,,,1,,1,,
36,0,香川,計,計,55,37.7 ,63,43.2 ,28,19.2 ,×
37,0,徳島,Ⅰ,1948～1960,18,69.2 ,8,30.8 ,0,0.0 ,
37,0,徳島,Ⅱ,1961～1975,17,56.7 ,13,43.3 ,0,0.0 ,
37,0,徳島,Ⅲ,1976～1990,15,50.0 ,15,50.0 ,0,0.0 ,
37,0,徳島,Ⅳ,1991～2005,15,50.0 ,14,46.7 ,1,3.3 ,
37,0,徳島,Ⅴ,2006～2019,21,75.0 ,5,17.9 ,2,7.1 ,
37,0,徳島,Ⅵ,2021,1,,,,1,,
37,0,徳島,計,計,87,59.6 ,55,37.7 ,4,2.7 ,×
38,0,愛媛,Ⅰ,1948～1960,16,61.5 ,9,34.6 ,1,3.8 ,
38,0,愛媛,Ⅱ,1961～1975,19,63.3 ,9,30.0 ,2,6.7 ,
38,0,愛媛,Ⅲ,1976～1990,16,53.3 ,10,33.3 ,4,13.3 ,
38,0,愛媛,Ⅳ,1991～2005,21,70.0 ,4,13.3 ,5,16.7 ,
38,0,愛媛,Ⅴ,2006～2019,14,50.0 ,0,0.0 ,14,50.0 ,〇
38,0,愛媛,Ⅵ,2021,,,,,2,,
38,0,愛媛,計,計,86,58.9 ,32,21.9 ,28,19.2 ,
39,0,高知,Ⅰ,1948～1960,1,3.8 ,14,53.8 ,11,42.3 ,
39,0,高知,Ⅱ,1961～1975,4,13.3 ,9,30.0 ,17,56.7 ,○
39,0,高知,Ⅲ,1976～1990,3,10.0 ,12,40.0 ,15,50.0 ,
39,0,高知,Ⅳ,1991～2005,3,10.0 ,5,16.7 ,22,73.3 ,
39,0,高知,Ⅴ,2006～2019,2,7.1 ,4,14.3 ,22,78.6 ,
39,0,高知,Ⅵ,2021,,,,,2,,
39,0,高知,計,計,13,8.9 ,44,30.1 ,89,61.0 ,
40,0,福岡,Ⅰ,1948～1960,25,96.2 ,0,0.0 ,1,3.8 ,
40,0,福岡,Ⅱ,1961～1975,5,16.7 ,11,36.7 ,14,46.7 ,
40,0,福岡,Ⅲ,1976～1990,6,20.0 ,3,10.0 ,21,70.0 ,○
40,0,福岡,Ⅳ,1991～2005,3,10.0 ,2,6.7 ,25,83.3 ,
40,0,福岡,Ⅴ,2006～2019,4,13.3 ,0,0.0 ,26,86.7 ,
40,0,福岡,Ⅵ,2021,,,,,2,,
40,0,福岡,合,計,43,29.1 ,16,10.8 ,89,60.1 ,
41,0,佐賀,Ⅰ,1948～1960,15,50.0 ,9,30.0 ,6,20.0 ,
41,0,佐賀,Ⅱ,1961～1975,11,36.7 ,17,56.7 ,2,6.7 ,
41,0,佐賀,Ⅲ,1976～1990,7,23.3 ,14,46.7 ,9,30.0 ,
41,0,佐賀,Ⅳ,1991～2005,10,33.3 ,14,46.7 ,6,20.0 ,
41,0,佐賀,Ⅴ,2006～2019,9,32.1 ,15,53.6 ,4,14.3 ,
41,0,佐賀,Ⅵ,2021,1,,,,1,,
41,0,佐賀,計,計,53,35.3 ,69,46.0 ,28,18.7 ,×
42,0,長崎,Ⅰ,1948～1960,14,53.8 ,4,15.4 ,8,30.8 ,
42,0,長崎,Ⅱ,1961～1975,7,23.3 ,10,33.3 ,13,43.3 ,
42,0,長崎,Ⅲ,1976～1990,11,36.7 ,7,23.3 ,12,40.0 ,
42,0,長崎,Ⅳ,1991～2005,10,33.3 ,3,10.0 ,17,56.7 ,○
42,0,長崎,Ⅴ,2006～2019,7,25.0 ,3,10.7 ,18,64.3 ,
42,0,長崎,Ⅵ,2021,1,,1,,,,
42,0,長崎,計,計,50,34.2 ,28,19.2 ,68,46.6 ,
43,0,熊本,Ⅰ,1948～1960,11,42.3 ,11,42.3 ,4,15.4 ,
43,0,熊本,Ⅱ,1961～1975,6,20.0 ,5,16.7 ,19,63.3 ,○
43,0,熊本,Ⅲ,1976～1990,6,20.0 ,11,36.7 ,13,43.3 ,
43,0,熊本,Ⅳ,1991～2005,3,10.0 ,9,30.0 ,18,60.0 ,○
43,0,熊本,Ⅴ,2006～2019,4,14.3 ,6,21.4 ,18,64.3 ,
43,0,熊本,Ⅵ,2021,1,,1,,,,
43,0,熊本,計,計,31,21.2 ,43,29.5 ,72,49.3 ,
44,0,大分,Ⅰ,1948～1960,16,61.5 ,10,38.5 ,0,0.0 ,
44,0,大分,Ⅱ,1961～1975,17,56.7 ,13,43.3 ,0,0.0 ,
44,0,大分,Ⅲ,1976～1990,11,36.7 ,13,43.3 ,6,20.0 ,
44,0,大分,Ⅳ,1991～2005,10,33.3 ,8,26.7 ,12,40.0 ,
44,0,大分,Ⅴ,2006～2019,4,14.3 ,9,32.1 ,15,53.6 ,○
44,0,大分,Ⅵ,2021,1,,,,1,,
44,0,大分,計,計,59,40.4 ,53,36.3 ,34,23.3 ,
45,0,宮崎,Ⅰ,1948～1960,25,96.2 ,1,3.8 ,0,0.0 ,
45,0,宮崎,Ⅱ,1961～1975,15,50.0 ,11,36.7 ,4,13.3 ,
45,0,宮崎,Ⅲ,1976～1990,11,36.7 ,6,20.0 ,13,43.3 ,
45,0,宮崎,Ⅳ,1991～2005,3,10.0 ,6,20.0 ,21,70.0 ,○
45,0,宮崎,Ⅴ,2006～2019,0,0.0 ,7,25.0 ,21,75.0 ,
45,0,宮崎,Ⅵ,2021,,,1,,1,,
45,0,宮崎,計,計,54,37.0 ,32,21.9 ,60,41.1 ,
46,0,鹿児島,Ⅰ,1948～1960,11,42.3 ,9,34.6 ,6,23.1 ,
46,0,鹿児島,Ⅱ,1961～1975,6,20.0 ,11,36.7 ,13,43.3 ,
46,0,鹿児島,Ⅲ,1976～1990,3,10.0 ,8,26.7 ,19,63.3 ,○
46,0,鹿児島,Ⅳ,1991～2005,4,13.3 ,4,13.3 ,22,73.3 ,
46,0,鹿児島,Ⅴ,2006～2019,2,7.1 ,2,7.1 ,24,85.7 ,
46,0,鹿児島,Ⅵ,2021,,,,,2,,
46,0,鹿児島,計,計,26,17.8 ,34,23.3 ,86,58.9 ,
47,0,沖縄,Ⅰ,1948～1960,12,66.7 ,6,33.3 ,0,0.0 ,
47,0,沖縄,Ⅱ,1961～1975,20,66.7 ,3,10.0 ,7,23.3 ,
47,0,沖縄,Ⅲ,1976～1990,12,40.0 ,8,26.7 ,10,33.3 ,
47,0,沖縄,Ⅳ,1991～2005,6,20.0 ,19,63.3 ,5,16.7 ,
47,0,沖縄,Ⅴ,2006～2019,6,21.4 ,10,35.7 ,12,42.9 ,
47,0,沖縄,Ⅵ,2021,,,1,,1,,
47,0,沖縄,計,計,56,40.6 ,47,34.1 ,35,25.4 ,×
,,,,,,,,,,,
